greater-accra,"""Faith Presbytarian church""",P,2008
greater-accra,"""Gbawe Methodist Church""",p,2007
greater-accra,"""Ghana Atomic Energy""",W,1997
greater-accra,"""Ghana Breweries Ltd.""",W,1992
greater-accra,"""Ghana Prisons Services""",W,2003
greater-accra,"""Ghana Registered Midwives""",W,2001
greater-accra,"""Ghana Standard Board """,W,1997
greater-accra,"""Global Evangelical""",P,1999
greater-accra,"""GNAPS""",W,2007
greater-accra,"""Graphic comm""",C,2004
greater-accra,"""Great Commission - Anyaa""",P,2009
greater-accra,"""I.R.S. Employees""",W,1997
greater-accra,"""Information Services Department""",W,2007
greater-accra,"""JITA""",C,2007
greater-accra,"""KAMCCU""",C,1972
greater-accra,"""Kanda Presby""",P,2002
greater-accra,"""Keneshie St. Theresa's""",P,2002
greater-accra,"""Kota Parish""",P,2004
greater-accra,"""Kwashieman Motorway""",C,1999
greater-accra,"""L T J B M""",P,2005
greater-accra,"""LECCU""",W,1999
greater-accra,"""Liberty Center""",P,2003
greater-accra,"""Living Vine Chapel""",P,2008
greater-accra,"""Living Word of God""",P,2007
greater-accra,"""Lotto Receivers' """,W,1985
greater-accra,"""Madina Community """,C,1999
greater-accra,"""Madina Teachers'""",W,1989
greater-accra,"""Mail Finance """,C,2005
greater-accra,"""Marthers of Uganda""",P,2006
greater-accra,"""Meteological Service""",W,1989
greater-accra,"""Metro Education""",W,2005
greater-accra,"""MT. Olivet Meth""",P,2007
greater-accra,"""Mt. Zion""",P,2007
greater-accra,"""Museums Monuments""",W,1998
greater-accra,"""NAFTI""",W,1998
greater-accra,"""New Achimota Presbytariam""",P,2008
greater-accra,"""New Fadama""",P,2007
greater-accra,"""North End""",C,1984
greater-accra,"""NVTI""",W,1975
greater-accra,"""Odupong Kpehe""",C,2003
greater-accra,"""OLA""",P,2008
greater-accra,"""Open Door Ass. Of God""",P,2007
greater-accra,"""P. C. G. Kaneshie""",P,2005
greater-accra,"""P.W.D. Prestige""",W,1991
greater-accra,"""Parliamentary Staff""",W,2005
greater-accra,"""Power CU""",W,2006
greater-accra,"""Presec Staff""",W,1994
greater-accra,"""Prince of Peace Kwashieman""",p,2008
greater-accra,"""Queen of Peace""",C,1982
greater-accra,"""Radiant""",C,2007
greater-accra,"""Redemption Parish Banana in""",P,1998
greater-accra,"""Redemption Presby""",P,2006
greater-accra,"""Revival Outreach""",P,2008
greater-accra,"""Revival Restoration Assemblies of God(RRC)""",P,2004
greater-accra,"""Sacred Heart Parish""",P,1983
greater-accra,"""Salem""",C,1972
greater-accra,"""SDA - Dansoman""",P,2007
greater-accra,"""SDA - Madina""",P,2007
greater-accra,"""St Charles Lwanga""",P,1998
greater-accra,"""St. Kizito Parish """,P,1991
greater-accra,"""St. Margaret Mary""",P,2001
greater-accra,"""ST. Pauls Kpehe""",P,2005
greater-accra,"""ST.Thomas More""",P,2007
greater-accra,"""Statistical Service""",W,1975
greater-accra,"""Tesano Baptist""",P,2007
greater-accra,"""TEXPO""",C,2008
greater-accra,"""TOP - UP""",C,2008
greater-accra,"""Transcea Church""",P,2004
greater-accra,"""Treasury Ladies""",W,2001
greater-accra,"""Trinity United Church""",P,2005
greater-accra,"""TUC National""",W,1992
greater-accra,"""UCGC""",P,
greater-accra,"""Ultimate""",C,2006
greater-accra,"""Univ. of Gh. Employees""",W,1971
greater-accra,"""Univ. of Gh. Med. Sch""",W,1969
